word,meaning,example,translation,interval,repetitions,next_due,total_attempts,error_count,total_correct,total_wrong,last_correct_date
already,by now or before now,I already ate lunch.,我已經吃過午餐了。,1.0,0,2025-05-26 22:15:13.099221,0,0,0,0,
also,in addition,She also likes to sing.,她也喜歡唱歌。,1.0,0,2025-05-26 22:15:13.099307,0,0,0,0,
alter,to change something,She altered her dress to fit better.,她改了洋裝讓它更合身。,1.0,0,2025-05-26 22:15:13.099392,0,0,0,0,
alternative,another choice,We need an alternative plan.,我們需要另一個方案。,1.0,0,2025-05-26 22:15:13.099478,0,0,0,0,
although,even though,"Although it rained, we played outside.",雖然下雨，我們還是在外面玩。,1.0,0,2025-05-26 22:15:13.099801,0,0,0,0,
always,all the time,He always brushes his teeth before bed.,他總是在睡前刷牙。,1.0,0,2025-05-26 22:15:13.099931,0,0,0,0,
AM,the time from midnight to noon,We have school at 8 AM.,我們早上八點上學。,1.0,0,2025-05-26 22:15:13.100037,0,0,0,0,
amazing,very surprising or great,That magic trick was amazing!,那個魔術太厲害了！,1.0,0,2025-05-26 22:15:13.100135,0,0,0,0,
American,from the United States,She is an American student.,她是美國學生。,1.0,0,2025-05-26 22:15:13.100230,0,0,0,0,
among,in the middle of or part of a group,He found his toy among the books.,他在書堆中找到了玩具。,1.0,0,2025-05-26 22:15:13.100331,0,0,0,0,
amount,how much of something,We need a small amount of sugar.,我們需要一點糖。,1.0,0,2025-05-26 22:15:13.100437,0,0,0,0,
analysis,a careful study of something,The scientist did an analysis of the data.,科學家分析了這些資料。,1.0,0,2025-05-26 22:15:13.100537,0,0,0,0,
analyst,a person who studies information,The analyst explained the numbers.,分析師解釋了那些數字。,1.0,0,2025-05-26 22:15:13.100630,0,0,0,0,
analyze,to study something carefully,Let's analyze the results together.,我們一起分析結果。,1.0,0,2025-05-26 22:15:13.100721,0,0,0,0,
ancient,very old,They saw ancient ruins on the trip.,他們在旅行中看到了古老遺跡。,1.0,0,2025-05-26 22:15:13.100812,0,0,0,0,
word,meaning,example,translation,1.0,0,2025-05-26 22:15:13.100902,0,0,0,0,
and,joins words or ideas,I like cats and dogs.,我喜歡貓和狗。,1.0,0,2025-05-26 22:15:13.100992,0,0,0,0,
anger,a strong feeling of being mad,He felt anger when his toy broke.,他的玩具壞掉時感到憤怒。,1.0,0,2025-05-26 22:15:13.101091,0,0,0,0,
angle,the space between two lines,Draw a right angle on the paper.,在紙上畫一個直角。,1.0,0,2025-05-26 22:15:13.101181,0,0,0,0,
angry,feeling mad,She was angry because she lost her pencil.,她因為弄丟鉛筆而生氣。,1.0,0,2025-05-26 22:15:13.101271,0,0,0,0,
animal,a living thing that is not a human,The zoo has many animals.,動物園裡有很多動物。,1.0,0,2025-05-26 22:15:13.101363,0,0,0,0,
anniversary,a yearly celebration,Today is my parents' wedding anniversary.,今天是我爸媽的結婚紀念日。,1.0,0,2025-05-26 22:15:13.101458,0,0,0,0,
announce,to tell people something important,The teacher announced a class trip.,老師宣布要去校外教學。,1.0,0,2025-05-26 22:15:13.101554,0,0,0,0,
annual,happening once a year,We have an annual school festival.,我們每年都有學校慶典。,1.0,0,2025-05-26 22:15:13.101644,0,0,0,0,
another,one more or a different one,May I have another cookie?,我可以再吃一塊餅乾嗎？,1.0,0,2025-05-26 22:15:13.101737,0,0,0,0,
answer,a reply to a question,She knew the answer to the question.,她知道這題的答案。,1.0,0,2025-05-26 22:15:13.101826,0,0,0,0,
anticipate,to expect something,I anticipate having fun at the party.,我預期在派對上會很開心。,1.0,0,2025-05-26 22:15:13.101915,0,0,0,0,
anxiety,feeling worried or nervous,She felt anxiety before the test.,考試前她感到很緊張。,1.0,0,2025-05-26 22:15:13.102004,0,0,0,0,
any,one or more without saying which,Do you have any questions?,你有什麼問題嗎？,1.0,0,2025-05-26 22:15:13.102091,0,0,0,0,
anybody,any person,Anybody can join the game.,任何人都可以參加這個遊戲。,1.0,0,2025-05-26 22:15:13.102180,0,0,0,0,
anymore,any longer or now,I don’t live there anymore.,我不再住在那裡了。,1.0,0,2025-05-26 22:15:13.102269,0,0,0,0,
anyone,any person,Anyone can help if they want.,任何人都可以幫忙，如果他們願意。,1.0,0,2025-05-26 22:15:13.102358,0,0,0,0,
anything,any object or thing,You can choose anything you like.,你可以選你喜歡的任何東西。,1.0,0,2025-05-26 22:15:13.102447,0,0,0,0,
anyway,in any case,"Anyway, let’s get started.",無論如何，我們開始吧。,1.0,0,2025-05-26 22:15:13.102538,0,0,0,0,
anywhere,any place,You can sit anywhere.,你可以坐任何地方。,1.0,0,2025-05-26 22:15:13.102627,0,0,0,0,
apart,separated by distance,The houses are far apart.,這些房子彼此距離很遠。,1.0,0,2025-05-26 22:15:13.102717,0,0,0,0,
apartment,a place to live in a building,They live in a small apartment.,他們住在一間小公寓裡。,1.0,0,2025-05-26 22:15:13.102806,0,0,0,0,
apparent,clearly seen or understood,It was apparent he was tired.,很明顯他很累。,1.0,0,2025-05-26 22:15:13.102894,0,0,0,0,
apparently,as far as one knows,"Apparently, the test is tomorrow.",看來明天要考試。,1.0,0,2025-05-26 22:15:13.102983,0,0,0,0,
appeal,to ask for help or support,He made an appeal to the teacher.,他向老師提出請求。,1.0,0,2025-05-26 22:15:13.103074,0,0,0,0,
appear,to become visible,A rainbow appeared in the sky.,天空出現了一道彩虹。,1.0,0,2025-05-26 22:15:13.103163,0,0,0,0,
appearance,the way someone or something looks,Her appearance surprised everyone.,她的外表讓大家驚訝。,1.0,0,2025-05-26 22:15:13.103251,0,0,0,0,
apple,a round fruit,I ate an apple for lunch.,我午餐吃了一顆蘋果。,1.0,0,2025-05-26 22:15:13.103350,0,0,0,0,
application,a form to request something,She filled out a job application.,她填了一份工作申請表。,1.0,0,2025-05-26 22:15:13.103463,0,0,0,0,
apply,to ask for something in writing,He applied for the art class.,他申請了藝術課。,1.0,0,2025-05-26 22:15:13.103544,0,0,0,0,
appoint,to choose someone for a job,They appointed her team leader.,他們任命她當隊長。,1.0,0,2025-05-26 22:15:13.103622,0,0,0,0,
appointment,a meeting arranged at a specific time,I have a doctor’s appointment at 3 PM.,我三點有個看醫生的約。,1.0,0,2025-05-26 22:15:13.103697,0,0,0,0,
appreciate,to be thankful for something,I appreciate your help.,我感謝你的幫助。,1.0,0,2025-05-26 22:15:13.103771,0,0,0,0,
approach,to come closer to something,The cat slowly approached the bird.,貓咪慢慢靠近小鳥。,1.0,0,2025-05-26 22:15:13.103845,0,0,0,0,
appropriate,right or suitable,Wear appropriate clothes to school.,穿適當的衣服去上學。,1.0,0,2025-05-26 22:15:13.103919,0,0,0,0,
approval,the act of agreeing,She gave her approval for the plan.,她同意這個計劃。,1.0,0,2025-05-26 22:15:13.103993,0,0,0,0,
approve,to agree with something,My parents approve of my choice.,我父母同意我的選擇。,1.0,0,2025-05-26 22:15:13.104068,0,0,0,0,
approximately,almost，about,The box weighs approximately 5 kg.,這箱子大約重五公斤。,1.0,0,2025-05-26 22:15:13.104141,0,0,0,0,
Arab,a person from the Arab world,She is an Arab from Egypt.,她是來自埃及的阿拉伯人。,1.0,0,2025-05-26 22:15:13.104216,0,0,0,0,
architect,a person who designs buildings,The architect drew the plans.,建築師畫了設計圖。,1.0,0,2025-05-26 22:15:13.104289,0,0,0,0,
area,a space or region,We played in the picnic area.,我們在野餐區玩耍。,1.0,0,2025-05-26 22:15:13.104363,0,0,0,0,
argue,to speak in disagreement,They always argue about games.,他們總是為了遊戲爭吵。,1.0,0,2025-05-26 22:15:13.104437,0,0,0,0,
argument,a fight or disagreement in words,The kids had an argument over a toy.,孩子們因為玩具吵架了。,1.0,0,2025-05-26 22:15:13.104510,0,0,0,0,
arise,to come up or appear,A problem may arise if we are late.,如果我們遲到可能會出現問題。,1.0,0,2025-05-26 22:15:13.104583,0,0,0,0,
arm,the part of the body between shoulder and hand,He broke his arm while playing.,他玩耍時弄斷了手臂。,1.0,0,2025-05-26 22:15:13.104657,0,0,0,0,
armed,having weapons,The police were armed for safety.,警察配有武器以確保安全。,1.0,0,2025-05-26 22:15:13.104731,0,0,0,0,
army,a large group of soldiers,The army marched down the street.,軍隊沿著街道行進。,1.0,0,2025-05-26 22:15:13.104805,0,0,0,0,
around,on every side or nearby,There were many people around us.,我們周圍有很多人。,1.0,0,2025-05-26 22:15:13.104889,0,0,0,0,
arrange,to put things in order,She arranged the books on the shelf.,她把書整齊地排在書架上。,1.0,0,2025-05-26 22:15:13.104964,0,0,0,0,
arrangement,a plan or setup,We made an arrangement to meet at noon.,我們安排中午見面。,1.0,0,2025-05-26 22:15:13.105038,0,0,0,0,
arrest,to catch someone for breaking the law,The police arrested the thief.,警察逮捕了小偷。,1.0,0,2025-05-26 22:15:13.105111,0,0,0,0,
arrival,coming to a place,We waited for the arrival of the bus.,我們等著公車到站。,1.0,0,2025-05-26 22:15:13.105186,0,0,0,0,
arrive,to get to a place,We will arrive at school soon.,我們很快就會到學校。,1.0,0,2025-05-26 22:15:13.105261,0,0,0,0,
art,creative work like drawing or painting,She loves making art.,她喜歡創作藝術。,1.0,0,2025-05-26 22:15:13.105335,0,0,0,0,
article,a piece of writing in a newspaper or magazine,I read an article about animals.,我讀了一篇關於動物的文章。,1.0,0,2025-05-26 22:15:13.105409,0,0,0,0,
artist,a person who makes art,The artist painted a beautiful picture.,這位藝術家畫了一幅美麗的畫。,1.0,0,2025-05-26 22:15:13.105486,0,0,0,0,
artistic,showing skill in art,She is very artistic and draws well.,她很有藝術天分，畫得很好。,1.0,0,2025-05-26 22:15:13.105559,0,0,0,0,
as,in the role of or while,He works as a teacher.,他當老師工作。,1.0,0,2025-05-26 22:15:13.105656,0,0,0,0,
Asian,related to Asia,My friend is Asian.,我的朋友是亞洲人。,1.0,0,2025-05-26 22:15:13.105732,0,0,0,0,
aside,to one side,He stepped aside to let me pass.,他側身讓我通過。,1.0,0,2025-05-26 22:15:13.105821,0,0,0,0,
ask,to say something to get an answer,I want to ask a question.,我想問一個問題。,1.0,0,2025-05-26 22:15:13.105900,0,0,0,0,
asleep,not awake,The baby is asleep.,寶寶睡著了。,1.0,0,2025-05-26 22:15:13.105974,0,0,0,0,
aspect,a part or detail of something,One aspect of health is good sleep.,健康的一個面向是睡眠充足。,1.0,0,2025-05-26 22:15:13.106049,0,0,0,0,
assault,a violent attack,The police stopped the assault.,警察阻止了那次攻擊事件。,1.0,0,2025-05-26 22:15:13.106124,0,0,0,0,
assert,to say something strongly,He asserted that he was right.,他堅稱自己是對的。,1.0,0,2025-05-26 22:15:13.106198,0,0,0,0,
assess,to evaluate or judge something,The teacher will assess our work.,老師會評估我們的作品。,1.0,0,2025-05-26 22:15:13.106273,0,0,0,0,
assessment,the act of judging or testing,We had a math assessment today.,我們今天有數學評量。,1.0,0,2025-05-26 22:15:13.106347,0,0,0,0,
asset,something valuable,Her smile is a great asset.,她的微笑是一種寶貴的優勢。,1.0,0,2025-05-26 22:15:13.106421,0,0,0,0,
assign,to give someone a task,The teacher assigned us homework.,老師給我們布置了作業。,1.0,0,2025-05-26 22:15:13.106495,0,0,0,0,
assignment,a task or piece of work,I finished my reading assignment.,我完成了閱讀作業。,1.0,0,2025-05-26 22:15:13.106575,0,0,0,0,
assist,to help,He will assist you with the project.,他會幫你做這個專案。,1.0,0,2025-05-26 22:15:13.106649,0,0,0,0,
assistance,help or support,She needs assistance with the bags.,她需要幫忙提這些袋子。,1.0,0,2025-05-26 22:15:13.106722,0,0,0,0,
assistant,a helper,The teacher's assistant passed out papers.,老師助理分發了講義。,1.0,0,2025-05-26 22:15:13.106796,0,0,0,0,
associate,to connect or relate something,I associate summer with the beach.,我把夏天和海灘聯想在一起。,1.0,0,2025-05-26 22:15:13.106873,0,0,0,0,
association,a group or connection,He joined the sports association.,他加入了體育協會。,1.0,0,2025-05-26 22:15:13.106947,0,0,0,0,
assume,to think something is true,I assume he is coming with us.,我以為他會和我們一起來。,1.0,0,2025-05-26 22:15:13.107022,0,0,0,0,
assumption,something believed without proof,Her assumption was wrong.,她的假設是錯的。,1.0,0,2025-05-26 22:15:13.107096,0,0,0,0,
assure,to make someone feel sure,I assure you everything is fine.,我保證一切都沒問題。,1.0,0,2025-05-26 22:15:13.107170,0,0,0,0,
at,in or near a place or time,I will meet you at the park.,我會在公園和你見面。,1.0,0,2025-05-26 22:15:13.107245,0,0,0,0,
athlete,a person who plays sports,The athlete runs very fast.,那位運動員跑得很快。,1.0,0,2025-05-26 22:15:13.107319,0,0,0,0,
athletic,strong and good at sports,She is athletic and plays basketball.,她很有運動細胞，會打籃球。,1.0,0,2025-05-26 22:15:13.107394,0,0,0,0,
atmosphere,the air or mood around something,The room had a happy atmosphere.,房間裡有愉快的氣氛。,1.0,0,2025-05-26 22:15:13.107469,0,0,0,0,
attach,to join or connect,Please attach the file to the email.,請把檔案附在電子郵件上。,1.0,0,2025-05-26 22:15:13.107543,0,0,0,0,
attack,to try to hurt someone or something,The lion tried to attack the zebra.,獅子試圖攻擊斑馬。,1.0,0,2025-05-26 22:15:13.107606,0,0,0,0,
attempt,to try to do something,He made an attempt to climb the tree.,他試圖爬那棵樹。,1.0,0,2025-05-26 22:15:13.107670,0,0,0,0,
attend,to go to or be present at,She will attend the school meeting.,她會參加學校會議。,1.0,0,2025-05-26 22:15:13.107736,0,0,0,0,
attention,focus or notice,Please pay attention in class.,請在課堂上專心。,1.0,0,2025-05-26 22:15:13.107803,0,0,0,0,
attitude,the way someone feels or thinks,He has a positive attitude.,他有積極的態度。,1.0,0,2025-05-26 22:15:13.107867,0,0,0,0,
attorney,a lawyer,The attorney helped her in court.,律師在法庭上幫助了她。,1.0,0,2025-05-26 22:15:13.107931,0,0,0,0,
attract,to pull interest,The flowers attract bees.,花吸引了蜜蜂。,1.0,0,2025-05-26 22:15:13.107994,0,0,0,0,
attractive,good-looking or interesting,That dress is very attractive.,那件洋裝很吸引人。,1.0,0,2025-05-26 22:15:13.108058,0,0,0,0,
